,entity,meaning
6368,feel," produce a certain impression; ""It feels nice to be home again"""
6369,slander, words falsely spoken that damage the reputation of another
6370,slander, an abusive attack on a person's character or good name
6371,swarm," a group of many things in the air or on the ground; ""a swarm of insects obscured the light""; ""clouds of blossoms""; ""it discharged a cloud of spores"""
6372,swarm, a moving crowd
6373,shot, an estimate based on little or no information
6374,shot, a consecutive series of pictures that constitutes a unit of action in a film
6375,shot, an attempt to score in a game
6376,shot," a person who shoots (usually with respect to their ability to shoot); ""he is a crack shot""; ""a poor shooter"""
6377,shot," the act of firing a projectile; ""his shooting was slow but accurate"""
6378,shot," a solid missile discharged from a firearm; ""the shot buzzed past his ear"""
6379,shot," the act of putting a liquid into the body by means of a syringe; ""the nurse gave him a flu shot"""
6380,center," the middle of a military or naval formation; ""they had to reinforce the center"""
6381,center, (basketball) the person who plays center on a basketball team
6382,center, politically moderate persons; centrists
6383,slump, a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
6384,slump, assume a drooping posture or carriage
6385,slump," fall or sink heavily; ""He slumped onto the couch""; ""My spirits sank"""
6386,slump," fall heavily or suddenly; decline markedly; ""The real estate market fell off"""
6387,slump," a noticeable deterioration in performance or quality; ""the team went into a slump""; ""a gradual slack in output""; ""a drop-off in attendance""; ""a falloff in quality"""
6388,slump," go down in value; ""the stock market corrected""; ""prices slumped"""
6389,whoop, a loud hooting cry of exultation or excitement
6390,whoop," shout, as if with joy or enthusiasm; ""The children whooped when they were led to the picnic table"""
6391,go," be the right size or shape; fit correctly or as desired; ""This piece won't fit into the puzzle"""
6392,go," enter or assume a certain state or condition; ""He became annoyed when he heard the bad news""; ""It must be getting more serious""; ""her face went red with anger""; ""She went into ecstasy""; ""Get going!"""
6393,go," blend or harmonize; ""This flavor will blend with those in your dish""; ""This sofa won't go with the chairs"""
6394,gloss," give a shine or gloss to, usually by rubbing"
6395,gloss," provide interlinear explanations for words or phrases; ""He annotated on what his teacher had written"""
6396,gloss, provide an interlinear translation of a word or phrase
6397,gloss," give a deceptive explanation or excuse for; ""color a lie"""
6398,snowflake, white Arctic bunting
6399,snowflake, a crystal of snow
6400,whiff," perceive by inhaling through the nose; ""sniff the perfume"""
6401,whiff, a lefteye flounder found in coastal waters from New England to Brazil
6402,whiff," utter with a puff of air; ""whiff out a prayer"""
6403,whiff," smoke and exhale strongly; ""puff a cigar""; ""whiff a pipe"""
6404,whiff, a short light gust of air
6405,stuff," overeat or eat immodestly; make a pig of oneself; ""She stuffed herself at the dinner""; ""The kids binged on ice cream"""
6406,stuff," a critically important or characteristic component; ""suspense is the very stuff of narrative"""
6407,stuff," the tangible substance that goes into the makeup of a physical object; ""coal is a hard black material""; ""wheat is the stuff they use to make bread"""
6408,stuff," cram into a cavity; ""The child stuffed candy into his pockets"""
6409,stuff," miscellaneous unspecified objects; ""the trunk was full of stuff"""
6410,stuff," fill tightly with a material; ""stuff a pillow with feathers"""
6411,stuff," fill with a stuffing while cooking; ""Have you stuffed the turkey yet?"""
6412,stuff," obstruct; ""My nose is all stuffed""; ""Her arteries are blocked"""
6413,passion," any object of warm affection or devotion; ""the theater was her first love""; ""he has a passion for cock fighting"";"
6414,passion, an irrational but irresistible motive for a belief or action
6415,hope," someone (or something) on which expectations are centered; ""he was their best hope for a victory"""
6416,hope, one of the three Christian virtues
6417,hope," a specific instance of feeling hopeful; ""it revived their hope of winning the pennant"""
6418,hope," be optimistic; be full of hope; have hopes; ""I am still hoping that all will turn out well"""
6419,hope," the general feeling that some desire will be fulfilled; ""in spite of his troubles he never gave up hope"""
6420,pad, the fleshy cushion-like underside of an animal's foot or of a human's finger
6421,pad," add padding to; ""pad the seat of the chair"""
6422,pad, the large floating leaf of an aquatic plant (as the water lily)
6423,pad," a flat mass of soft material used for protection, stuffing, or comfort"
6424,pad, add details to
6425,pad, a platform from which rockets or space craft are launched
6426,pad, temporary living quarters
6427,pad," line or stuff with soft material; ""pad a bra"""
6428,castle, move the king two squares toward a rook and in the same move the rook to the square next past the king
6429,castle, a large building formerly occupied by a ruler and fortified against attack
6430,folks," people in general (often used in the plural); ""they're just country folk""; ""folks around here drink moonshine""; ""the common people determine the group character and preserve its customs from one generation to the next"""
6431,folks," your parents; ""he wrote to his folks every day"""
6432,cyclone, a violent rotating windstorm
6433,cyclone, (meteorology) rapid inward circulation of air masses about a low pressure center; circling counterclockwise in the northern hemisphere and clockwise in the southern
6434,stroke," (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand; ""it took two strokes to get out of the bunker""; ""a good shot requires good balance and tempo""; ""he left me an almost impossible shot"""
6435,stroke," a mark made on a surface by a pen, pencil, or paintbrush; ""she applied the paint in careful strokes"""
6436,stroke, a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
6437,stroke," touch lightly and repeatedly, as with brushing motions; ""He stroked his long beard"""
6438,stroke, a single complete movement
6439,stroke," anything that happens suddenly or by chance without an apparent cause; ""winning the lottery was a happy accident""; ""the pregnancy was a stroke of bad luck""; ""it was due to an accident or fortuity"""
6440,syndicate, an association of companies for some definite purpose
6441,syndicate, a news agency that sells features or articles or photographs etc. to newspapers for simultaneous publication
6442,syndicate, organize into or form a syndicate
6443,syndicate, a loose affiliation of gangsters in charge of organized criminal activities
6444,modulation, (electronics) the transmission of a signal by using it to vary a carrier wave; changing the carrier's amplitude or frequency or phase
6445,modulation, a manner of speaking in which the loudness or pitch or tone of the voice is modified
6446,confusion," disorder resulting from a failure to behave predictably; ""the army retreated in confusion"""
6447,confusion," an act causing a disorderly combination of elements with identities lost and distinctions blended; ""the confusion of tongues at the Tower of Babel"""
6448,clasp, fasten with or as if with a brooch
6449,clasp," grasp firmly; ""The child clasped my hands"""
6450,clasp, fasten with a buckle or buckles
6451,clasp, hold firmly and tightly
6452,clasp, a fastener (as a buckle or hook) that is used to hold two things together
6453,fly, two-winged insects characterized by active flight
6454,fly," transport by aeroplane; ""We fly flowers from the Caribbean to North America"""
6455,fly," travel in an airplane; ""she is flying to Cincinnati tonight""; ""Are we driving or flying?"""
6456,fly," travel over (an area of land or sea) in an aircraft; ""Lindbergh was the first to fly the Atlantic"""
6457,preempt," take the place of or have precedence over; ""live broadcast of the presidential debate preempts the regular news hour""; ""discussion of the emergency situation will preempt the lecture by the professor"""
6458,preempt, acquire for oneself before others can do so
6459,thread," any long object resembling a thin line; ""a mere ribbon of land""; ""the lighted ribbon of traffic""; ""from the air the road was a grey thread""; ""a thread of smoke climbed upward"""
6460,thread," pass a thread through; ""thread a needle"""
6461,thread," remove facial hair by tying a fine string around it and pulling at the string; ""She had her eyebrows threaded"""
6462,thread," thread on or as if on a string; ""string pearls on a string""; ""the child drew glass beads on a string""; ""thread dried cranberries"""
6463,field pea, coarse small-seeded pea often used as food when young and tender
6464,field pea, seed of the field pea plant
6465,player, someone who plays a musical instrument (as a profession)
6466,player, a person who participates in or is skilled at some game
6467,player, a person who pursues a number of different social and sexual partners simultaneously
6468,thermostat, a regulator for automatically regulating temperature by starting or stopping the supply of heat
6469,thermostat, control the temperature with a thermostat
6470,future, bulk commodities bought or sold at an agreed price for delivery at a specified future date
6471,future," yet to be or coming; ""some future historian will evaluate him"""
6472,pressure, exert pressure on someone through threats
6473,pressure," the state of demanding notice or attention; ""the insistence of their hunger""; ""the press of business matters"""
6474,pressure, the pressure exerted by the atmosphere
6475,pressure," a force that compels; ""the public brought pressure to bear on the government"""
6476,pressure," the act of pressing; the exertion of pressure; ""he gave the button a press""; ""he used pressure to stop the bleeding""; ""at the pressing of a button"""
6477,oppose," fight against or resist strongly; ""The senator said he would oppose the bill""; ""Don't fight it!"""
6478,oppose, contrast with equal weight or force
6479,oppose," be against; express opposition to; ""We oppose the ban on abortion"""
6480,oppose," be resistant to; ""The board opposed his motion"""
6481,coneflower, a wildflower of the genus Ratibida
6482,coneflower, any of various plants of the genus Rudbeckia cultivated for their large usually yellow daisies with prominent central cones
6483,neglect, lack of attention and due care
6484,neglect," fail to do something; leave something undone; ""She failed to notice that her child was no longer in his crib""; ""The secretary failed to call the customer and the company lost the account"""
6485,neglect, willful lack of care and attention
6486,neglect," give little or no attention to; ""Disregard the errors"""
6487,neglect," fail to attend to; ""he neglects his children"""
6488,wallop," a forceful consequence; a strong effect; ""the book had an important impact on my thinking""; ""the book packs a wallop"""
6489,wallop," defeat soundly and utterly; ""We'll wallop them!"""
6490,senior," older; higher in rank; longer in length of tenure or service; ""senior officer"""
6491,senior, a person who is older than you are
6492,branch," a division of a stem, or secondary stem arising from the main stem of a plant"
6493,branch, a stream or river connected to a larger one
6494,quadrillion, the number that is represented as a one followed by 15 zeros
6495,quadrillion," the number that is represented as a one followed by 24 zeros; ""in England they call a septillion a quadrillion"""
6496,graciousness, the quality of being kind and gentle
6497,graciousness, excellence of manners or social conduct
6498,interrupt," terminate; ""She interrupted her pregnancy""; ""break a lucky streak""; ""break the cycle of poverty"""
6499,interrupt," interfere in someone else's activity; ""Please don't interrupt me while I'm on the phone"""
6500,interrupt," make a break in; ""We interrupt the program for the following messages"""
6501,disagreeableness, the quality of being disagreeable and unpleasant
6502,disagreeableness, an ill-tempered and offensive disposition
6503,toll," the sound of a bell being struck; ""saved by the bell""; ""she heard the distant toll of church bells"""
6504,toll," ring slowly; ""For whom the bell tolls"""
6505,pinion, a gear with a small number of teeth designed to mesh with a larger wheel or rack
6506,pinion, cut the wings off (of birds)
6507,summarize," be a summary of; ""The abstract summarizes the main ideas in the paper"""
6508,summarize," give a summary (of); ""he summed up his results""; ""I will now summarize"""
6509,underbid, bid lower than a competing bidder
6510,underbid, bid too low
6511,slash," cut drastically; ""Prices were slashed""   with foresight; ""more presciently than they superiors, these workers grasped the economic situation"""
6512,slash," cut open; ""she slashed her wrists"""
6513,slash, cut with sweeping strokes; as with an ax or machete
6514,slash," a strong sweeping cut made with a sharp instrument   make personal or more personal; ""personalized service"""
6515,slash, an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
6516,volley," be dispersed in a volley; ""gun shots volleyed at the attackers"""
6517,volley," rapid simultaneous discharge of firearms; ""our fusillade from the left flank caught them by surprise"""
6518,volley," discharge in, or as if in, a volley; ""the attackers volleyed gunshots at the civilians"""
6519,pulassan, fruit of an East Indian tree similar to the rambutan but sweeter
6520,pulassan, East Indian fruit tree bearing fruit similar to but sweeter than that of the rambutan
6521,analysis, a branch of mathematics involving calculus and the theory of limits; sequences and series and integration and differentiation
6522,analysis, an investigation of the component parts of a whole and their relations in making up the whole
6523,essay, an analytic or interpretive literary composition
6524,essay, a tentative attempt
6525,thumb," feel or handle with the fingers; ""finger the binding of the book"""
6526,thumb," look through a book or other written material; ""He thumbed through the report""; ""She leafed through the volume"""
6527,thumb, the thick short innermost digit of the forelimb
6528,cruise," travel at a moderate speed; ""Please keep your seat belt fastened while the plane is reaching cruising altitude"""
6529,cruise," sail or travel about for pleasure, relaxation, or sightseeing; ""We were cruising in the Caribbean"""
6530,rave," an extravagantly enthusiastic review; ""he gave it a rave"""
6531,rave," praise enthusiastically; ""She raved about that new restaurant"""
6532,comb," straighten with a comb; ""comb your hair"""
6533,comb, any of several tools for straightening fibers
6534,comb, a flat device with narrow pointed teeth on one edge; disentangles or arranges hair
6535,pan, chimpanzees; more closely related to Australopithecus than to other pongids
6536,pan, cooking utensil consisting of a wide metal vessel
6537,pan, shallow container made of metal
6538,pulverize," become powder or dust; ""When it was blown up, the building powderized"""
6539,pulverize," destroy completely; ""the wrecking ball demolished the building""; ""demolish your enemies""; ""pulverize the rebellion before it gets out of hand"""
6540,pulverize," make into a powder by breaking up or cause to become dust; ""pulverize the grains"""
6541,mental," of or relating to the mind; ""mental powers""; ""mental development""; ""mental hygiene"""
6542,mental," involving the mind or an intellectual process; ""mental images of happy times""; ""mental calculations""; ""in a terrible mental state""; ""mental suffering""; ""free from mental defects"""
6543,witloof, widely cultivated herb with leaves valued as salad green; either curly serrated leaves or broad flat ones that are usually blanched
6544,witloof, young broad-leaved endive plant deprived of light to form a narrow whitish head
6545,engine," an instrument or machine that is used in warfare, such as a battering ram, catapult, artillery piece, etc.; ""medieval engines of war"""
6546,engine, motor that converts thermal energy to mechanical work
6547,incarnation, (Christianity) the Christian doctrine of the union of God and man in the person of Jesus Christ
6548,incarnation," a new personification of a familiar idea; ""the embodiment of hope""; ""the incarnation of evil""; ""the very avatar of cunning"""
6549,arch, a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
6550,arch, (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it
6551,market," the customers for a particular product or service; ""before they publish any book they try to determine the size of the market for it"""
6552,market," engage in the commercial promotion, sale, or distribution of; ""The company is marketing its new line of beauty products"""
6553,market," buy household supplies; ""We go marketing every Saturday"""
6554,market, deal in a market
6555,market," a marketplace where groceries are sold; ""the grocery store included a meat market"""
6556,market," make commercial; ""Some Amish people have commercialized their way of life"""
6557,gall, a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
6558,gall, become or make sore by or as if by rubbing
6559,correspondence, communication by the exchange of letters
6560,correspondence," compatibility of observations; ""there was no agreement between theory and measurement""; ""the results of two tests were in correspondence"""
6561,hokan, a member of a North American Indian people speaking one of the Hokan languages
6562,hokan, a family of Amerindian languages spoken in California
6563,retire," go into retirement; stop performing one's work or withdraw from one's position; ""He retired at age 68"""
6564,retire," make (someone) retire; ""The director was retired after the scandal"""
6565,retire," dispose of (something no longer useful or needed); ""She finally retired that old coat"""
6566,retire, cause to be out on a fielding play
6567,syracuse, a city in central New York
6568,syracuse, the Roman siege of Syracuse (214-212 BC) was eventually won by the Romans who sacked the city (killing Archimedes)
6569,syracuse, a city in southeastern Sicily that was founded by Corinthians in the 8th century BC
6570,syracuse, the Athenian siege of Syracuse (415-413 BC) was eventually won by Syracuse
6571,sacrifice, the act of killing (an animal or person) in order to propitiate a deity
6572,sacrifice, make a sacrifice of; in religious rituals
6573,sacrifice, the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.
6574,sacrifice," endure the loss of; ""He gave his life for his children""; ""I gave two sons to the war"""
6575,separate, make a division or separation
6576,separate," independent; not united or joint; ""a problem consisting of two separate issues""; ""they went their separate ways""; ""formed a separate church"""
6577,separate," divide into components or constituents; ""Separate the wheat from the chaff"""
6578,separate," divide into two or more branches so as to form a fork; ""The road forks"""
6579,separate," come apart; ""The two pieces that we had glued separated"""
6580,separate," force, take, or pull apart; ""He separated the fighting children""; ""Moses parted the Red Sea"""
6581,separate," act as a barrier between; stand between; ""The mountain range divides the two countries"""
6582,slight," pay no attention to, disrespect; ""She cold-shouldered her ex-fiance"""
6583,slight, a deliberate discourteous act (usually as an expression of anger or disapproval)
6584,surge, a large sea wave
6585,surge," rise or heave upward under the influence of a natural force such as a wave; ""the boats surged"""
6586,surge," see one's performance improve; ""He levelled the score and then surged ahead"""
6587,surge," rise and move, as in waves or billows; ""The army surged forward"""
6588,male," being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation; ""a male infant""; ""a male holly tree"""
6589,male, an animal that produces gametes (spermatozoa) that can fertilize female gametes (ova)
6590,pair, occur in pairs
6591,pair," arrange in pairs; ""Pair these numbers"""
6592,pair," engage in sexual intercourse; ""Birds mate in the Spring"""
6593,pair, two people considered as a unit
6594,pair, a set of two similar things considered as a unit
6595,headline, provide (a newspaper page or a story) with a headline
6596,headline," publicize widely or highly, as if with a headline"
6597,terminate," have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical; ""the bronchioles terminate in a capillary bed""; ""Your rights stop where you infringe upon the rights of other""; ""My property ends by the bushes""; ""The symphony ends in a pianissimo"""
6598,terminate," bring to an end or halt; ""She ended their friendship when she found out that he had once been convicted of a crime""; ""The attack on Poland terminated the relatively peaceful period after WW I"""
6599,terminate," terminate the employment of; discharge from an office or position; ""The boss fired his secretary today""; ""The company terminated 25% of its workers"""
6600,terminate," be the end of; be the last or concluding part of; ""This sad scene ended the movie"""
6601,brutalize, treat brutally
6602,brutalize," make brutal, unfeeling, or inhuman; ""Life in the camps had brutalized him"""
6603,brutalize, become brutal or insensitive and unfeeling
6604,threaten," to be a menacing indication of something:""The clouds threaten rain""; ""Danger threatens"""
6605,threaten," pose a threat to; present a danger to; ""The pollution is endangering the crops"""
6606,pattern," something intended as a guide for making something else; ""a blueprint for a house""; ""a pattern for a skirt"""
6607,pattern," form a pattern; ""These sentences pattern like the ones we studied before"""
6608,pattern, plan or create according to a model or models
6609,pattern," a model considered worthy of imitation; ""the American constitution has provided a pattern for many republics"""
6610,pattern," a decorative or artistic work; ""the coach had a design on the doors"""
6611,villa, detached or semidetached suburban house
6612,villa, Mexican revolutionary leader (1877-1923)
6613,sit down," show to a seat; assign a seat for; ""The host seated me next to Mrs. Smith"""
6614,sit down, take a seat
6615,sit down, be seated
6616,polymorphism, (chemistry) the existence of different kinds of crystal of the same chemical compound
6617,polymorphism, (biology) the existence of two or more forms of individuals within the same animal species (independent of sex differences)
6618,cordova, a city in central Argentina; site of a university founded in 1613
6619,cordova, a city in southern Spain; center of Moorish culture
6620,split," go one's own way; move apart; ""The friends separated after the party"""
6621,split," a lengthwise crack in wood; ""he inserted the wedge into a split in the log"""
6622,split," separate or cut with a tool, such as a sharp instrument; ""cleave the bone"""
6623,split," division of a group into opposing factions; ""another schism like that and they will wind up in bankruptcy"""
6624,split," come open suddenly and violently, as if from internal pressure; ""The bubble burst"""
6625,split," a promised or claimed share of loot or money; ""he demanded his split before they disbanded"""
6626,split," the act of rending or ripping or splitting something; ""he gave the envelope a vigorous rip"""
6627,split, an old Croatian city on the Adriatic Sea
6628,general," affecting the entire body; ""a general anesthetic""; ""general symptoms"""
6629,general," applying to all or most members of a category or group; ""the general public""; ""general assistance""; ""a general rule""; ""in general terms""; ""comprehensible to the general reader"""
6630,general, a general officer of the highest rank
6631,vaticinate, foretell through or as if through the power of prophecy
6632,vaticinate," predict or reveal through, or as if through, divine inspiration"
6633,trip up," make an error; ""She slipped up and revealed the name"""
6634,trip up," detect a blunder or misstep; ""The reporter tripped up the senator"""
6635,weaken," become weaker; ""The prisoner's resistance weakened after seven days"""
6636,weaken," reduce the level or intensity or size or scope of; ""de-escalate a crisis"""
6637,weaken," destroy property or hinder normal operations; ""The Resistance sabotaged railroad operations during the war"""
6638,weaken," lessen in force or effect; ""soften a shock""; ""break a fall"""
6639,weaken," lessen the strength of; ""The fever weakened his body"""
6640,stick, marijuana leaves rolled into a cigarette for smoking
6641,stick, a rectangular quarter pound block of butter or margarine
6642,stick, a long implement (usually made of wood) that is shaped so that hockey or polo players can hit a puck or ball
6643,stick," come or be in close contact with; stick or hold together and resist separation; ""The dress clings to her body""; ""The label stuck to the box""; ""The sushi rice grains cohere"""
6644,stick," cover and decorate with objects that pierce the surface; ""stick some feathers in the turkey before you serve it"""
6645,stick," fasten with an adhesive material like glue; ""stick the poster onto the wall"""
6646,stick," pierce with a thrust using a pointed instrument; ""he stuck the cloth with the needle"""
6647,stick," an implement consisting of a length of wood; ""he collected dry sticks for a campfire""; ""the kid had a candied apple on a stick"""
6648,stick," be a devoted follower or supporter; ""The residents of this village adhered to Catholicism""; ""She sticks to her principles"""
6649,reciprocal, (mathematics) one of a pair of numbers whose product is 1: the reciprocal of 2/3 is 3/2; the multiplicative inverse of 7 is 1/7
6650,reciprocal," concerning each of two or more persons or things; especially given or done in return; ""reciprocal aid""; ""reciprocal trade""; ""mutual respect""; ""reciprocal privileges at other clubs"""
6651,extinction, the reduction of the intensity of radiation as a consequence of absorption and radiation
6652,extinction," complete annihilation; ""they think a meteor cause the extinction of the dinosaurs"""
6653,phantasy," imagination unrestricted by reality; ""a schoolgirl fantasy"""
6654,phantasy," something many people believe that is false; ""they have the illusion that I am very wealthy"""
6655,landmark, a mark showing the boundary of a piece of land
6656,landmark, an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken
6657,silver, a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
6658,silver," make silver in color; ""Her worries had silvered her hair"""
6659,silver," coat with a layer of silver or a silver amalgam; ""silver the necklace"""
6660,silver," turn silver; ""The man's hair silvered very attractively"""
6661,dhegiha, any member of a Siouan people speaking one of the Dhegiha languages
6662,dhegiha, a branch of the Siouan languages
6663,smallness, the property of having a relatively small size
6664,smallness, lack of generosity in trifling matters
6665,lock, pass by means through a lock in a waterway
6666,lock," become engaged or intermeshed with one another; ""They were locked in embrace"""
6667,lock," any wrestling hold in which some part of the opponent's body is twisted or pressured   speak of in an irreverent or impious manner; ""blaspheme God"""
6668,lock," hold in a locking position; ""He locked his hands around her neck"""
6669,lock," hold fast (in a certain state); ""He was locked in a laughing fit"""
6670,lock, build locks in order to facilitate the navigation of vessels
6671,lock," fasten with a lock; ""lock the bike to the fence"""
6672,lock, a fastener fitted to a door or drawer to keep it firmly closed
6673,print, reproduce by printing
6674,print," the text appearing in a book, newspaper, or other printed publication; ""I want to see it in print"""
6675,print, a picture or design printed from an engraving
6676,print," make into a print; ""print the negative"""
6677,print, a printed picture produced from a photographic negative
6678,print," a visible indication made on a surface; ""some previous reader had covered the pages with dozens of marks""; ""paw prints were everywhere"""
6679,renascence, a second or new birth
6680,renascence, the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
6681,renascence, the revival of learning and culture
6682,tortuousness," a tortuous and twisted shape or position; ""they built a tree house in the tortuosities of its boughs""; ""the acrobat performed incredible contortions"""
6683,tortuousness, puzzling complexity
6684,shove," the act of shoving (giving a push to someone or something); ""he gave the door a shove"""
6685,shove," come into rough contact with while moving; ""The passengers jostled each other in the overcrowded train"""
6686,sputter, spit up in an explosive manner
6687,sputter," make an explosive sound; ""sputtering engines"""
6688,sputter," utter with a spitting sound, as if in a rage"
6689,board," a committee having supervisory powers; ""the board has seven members"""
6690,board, lodge and take meals (at)
6691,board," provide food and lodging (for); ""The old lady is boarding three men"""
6692,board," a flat piece of material designed for a special purpose; ""he nailed boards across the windows"""
6693,whitewash," cover up a misdemeanor, fault, or error; ""Let's not whitewash the crimes of Stalin""; ""She tried to gloss over her mistakes""   shaped like a lance"
6694,whitewash, a specious or deceptive clearing that attempts to gloss over failings and defects
6695,whitewash, exonerate by means of a perfunctory investigation or through biased presentation of data
6696,valve, a structure in a hollow organ (like the heart) with a flap to insure one-way flow of fluid through it
6697,valve, device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone
6698,valve, control consisting of a mechanical device for controlling the flow of a fluid
6699,lamp, an artificial source of visible illumination
6700,lamp, a piece of furniture holding one or more electric light bulbs
6701,protester, a person who dissents from some established policy
6702,protester, someone who participates in a public display of group feeling
6703,etiology, the philosophical study of causation
6704,etiology, the cause of a disease
6705,jumper, a small connector used to make temporary electrical connections
6706,jumper," a person who jumps; ""as the jumper neared the ground he lost control""; ""the jumper's parachute opened"""
6707,jumper," an athlete who competes at jumping; ""he is one hell of a jumper"""
6708,designate," give an assignment to (a person) to a post, or assign a task to (a person)"
6709,designate, assign a name or title to
6710,maul, split (wood) with a maul and wedges
6711,maul, injure badly by beating
6712,decimalize," change from fractions to decimals; ""Stock prices will be decimalized in the year 2000"""
6713,decimalize," change to the decimal system; ""The country decimalized the currency in 1975"""
6714,imply, express or state indirectly
6715,imply, suggest as a logically necessary consequence; in logic
6716,wallow," rise up as if in waves; ""smoke billowed up into the sky"""
6717,wallow, be ecstatic with joy
6718,fluidram, a British imperial capacity measure (liquid or dry) equal to 60 minims or 3.5516 cubic centimeters
6719,fluidram, a unit of capacity or volume in the apothecary system equal to one eighth of a fluid ounce
6720,gap, make an opening or gap in
6721,gap," a narrow opening; ""he opened the window a crack"""
6722,gap, a pass between mountain peaks
6723,feed," serve as food for; be the food for; ""This dish feeds six"""
6724,feed," provide as food; ""Feed the guests the nuts"""
6725,feed," feed into; supply; ""Her success feeds her vanity"""
6726,feed," take in food; used of animals only; ""This dog doesn't eat certain kinds of meat""; ""What do whales eat?"""
6727,graduate," confer an academic degree upon; ""This school graduates 2,000 students each year"""
6728,graduate," make fine adjustments or divide into marked intervals for optimal measuring; ""calibrate an instrument""; ""graduate a cylinder"""
6729,graduate," receive an academic degree upon completion of one's studies; ""She graduated in 1990"""
6730,graduate, a person who has received a degree from a school (high school or college or university)
6731,graduate, a measuring instrument for measuring fluid volume; a glass container (cup or cylinder or flask) whose sides are marked with or divided into amounts
6732,find, a productive insight
6733,find," make a discovery, make a new finding; ""Roentgen discovered X-rays""; ""Physicists believe they found a new elementary particle"""
6734,find," succeed in reaching; arrive at; ""The arrow found its mark"""
6735,find," come to believe on the basis of emotion, intuitions, or indefinite grounds; ""I feel that he doesn't like me""; ""I find him to be obnoxious""; ""I found the movie rather entertaining"""
6736,find," make a discovery; ""She found that he had lied to her""; ""The story is false, so far as I can discover"""
6737,say-so, an authoritative declaration
6738,say-so," the power or right to give orders or make decisions; ""he has the authority to issue warrants""; ""deputies are given authorization to make arrests""; ""a place of potency in the state"""
6739,snout, informal terms for the nose
6740,snout, a long projecting or anterior elongation of an animal's head; especially the nose
6741,unfold," extend or stretch out to a greater or the full length; ""Unfold the newspaper""; ""stretch out that piece of cloth""; ""extend the TV antenna"""
6742,unfold," spread out or open from a closed or folded state; ""open the map""; ""spread your arms"""
6743,unfold," develop or come to a promising stage; ""Youth blossomed into maturity"""
6744,infliction, an act causing pain or damage
6745,infliction, the act of imposing something (as a tax or an embargo)
6746,washington, a state in northwestern United States on the Pacific
6747,washington, 1st President of the United States; commander-in-chief of the Continental Army during the American Revolution (1732-1799)
6748,trauma, any physical damage to the body caused by violence or accident or fracture etc.
6749,trauma, an emotional wound or shock often having long-lasting effects
6750,expectation, the feeling that something is about to happen
6751,expectation, anticipating with confidence of fulfillment
6752,harpoon, a spear with a shaft and barbed point for throwing; used for catching large fish or whales; a strong line is attached to it
6753,harpoon," spear with a harpoon; ""harpoon whales"""
6754,moderationist, a person who takes a position in the political center
6755,moderationist, a moderate drinker (as opposed to a total abstainer)
6756,severity," something hard to endure; ""the asperity of northern winters"""
6757,severity, used of the degree of something undesirable e.g. pain or weather
6758,appearance," a mental representation; ""I tried to describe his appearance to the police"""
6759,appearance, the event of coming into sight
6760,appearance," the act of appearing in public view; ""the rookie made a brief appearance in the first period""; ""it was Bernhardt's last appearance in America"""
6761,wapiti, large North American deer with large much-branched antlers in the male
6762,wapiti, common deer of temperate Europe and Asia
6763,flicker," shine unsteadily; ""The candle flickered"""
6764,flicker," flash intermittently; ""The lights flicked on and off"""
6765,flicker, North American woodpecker
6766,saw, a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
6767,saw," cut with a saw; ""saw wood for the fireplace"""
6768,saw, hand tool having a toothed blade for cutting
6769,transcribe," artillery fire delivered by a mortar   make a phonetic transcription of; ""The anthropologist transcribed the sentences of the native informant"""
6770,transcribe, rewrite or arrange a piece of music for an instrument or medium other than that originally intended
6771,transcribe," write out from speech, notes, etc.; ""Transcribe the oral history of this tribe"""
6772,scenery," the painted structures of a stage set that are intended to suggest a particular locale; ""they worked all night painting the scenery"""
6773,scenery, the appearance of a place
6774,revolutionize," change radically; ""E-mail revolutionized communication in academe"""
6775,revolutionize, fill with revolutionary ideas
6776,lark, any carefree episode
6777,lark, any of numerous predominantly Old World birds noted for their singing
6778,usher," take (someone) to their seats, as in theaters or auditoriums; ""The usher showed us to our seats"""
6779,usher, someone employed to conduct others
6780,tablet, a number of sheets of paper fastened together along one edge
6781,tablet, a dose of medicine in the form of a small pellet
6782,suspension, an interruption in the intensity or amount of something
6783,suspension, a mixture in which fine particles are suspended in a fluid where they are supported by buoyancy
6784,suspension, temporary cessation or suspension
